,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters Staff,Euro zone bond yields edge down as global sentiment turns south - Reuters,"Borrowing costs in Germany, the euro zone's benchmark bond issuer, dipped on Monday to their lowest level in over a week as latest data from the world's biggest economies cast a shadow over the growth outlook.",https://www.reuters.com/article/eurozone-bonds-idUSL8N2PN1AQ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16T07:42:00Z,"By Reuters Staff
LONDON, Aug 16 (Reuters) - Borrowing costs in Germany, the euro zones benchmark bond issuer, dipped on Monday to their lowest level in over a week as latest data from the worlds big… [+1627 chars]",reuters,Reuters
1,Dhara Ranasinghe,UPDATE 1-Euro zone bonds find support as global sentiment sours - Reuters,"Borrowing costs in Germany, the euro zone's benchmark bond issuer, briefly dipped on Monday to their lowest level in just over a week as latest data from the world's biggest economies cast a shadow over the growth outlook.",https://www.reuters.com/article/eurozone-bonds-idUSL1N2PN0JJ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16T09:42:00Z,"(Updates prices, adds detail, fresh quote)
LONDON, Aug 16 (Reuters) - Borrowing costs in Germany, the euro zones benchmark bond issuer, briefly dipped on Monday to their lowest level in just over a … [+2549 chars]",reuters,Reuters
