,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,Japan's biggest bank MUFG doubles quarterly profit as credit costs drop - Reuters,"Mitsubishi UFJ Financial Group Inc (MUFG) <a href=""https://www.reuters.com/companies/8306.T"" target=""_blank"">(8306.T)</a>, Japan's largest lender by assets, on Monday reported that first-quarter net profit doubled year on year as credit-related costs dropped …",https://www.reuters.com/business/finance/japans-biggest-bank-mufg-doubles-quarterly-profit-credit-costs-drop-2021-08-02/,https://www.reuters.com/resizer/hx3SWH6FtUoGzvrteaNnUkGwcFo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZWE2BGDBZNIRFCWC4Z6W7RUQIM.jpg,2021-08-02T07:50:00Z,"People queue inside a branch of the Mitsubishi UFJ (MUFJ) Financial Group's bank of Tokyo-Mitsubishi UFJ in Tokyo, Japan, February 1, 2016. REUTERS/Yuya Shino/File PhotoTOKYO, Aug 2 (Reuters) - Mitsu… [+1711 chars]",reuters,Reuters
1,Reuters Staff,UPDATE 1-Japan's biggest bank MUFG doubles quarterly profit as credit costs drop - Reuters,"Mitsubishi UFJ Financial Group Inc (MUFG), Japan's largest lender by assets, on Monday reported that first-quarter net profit doubled year on year as credit-related costs dropped sharply.",https://www.reuters.com/article/us-mufg-results-idUSKBN2F30OU,https://static.reuters.com/resources/r/?m=02&d=20210802&t=2&i=1570683582&r=LYNXMPEH710BN&w=800,2021-08-02T07:36:00Z,"By Reuters Staff
FILE PHOTO: People queue inside a branch of the Mitsubishi UFJ (MUFJ) Financial Group's bank of Tokyo-Mitsubishi UFJ in Tokyo, Japan, February 1, 2016. REUTERS/Yuya Shino/File Photo… [+1572 chars]",reuters,Reuters
