,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Sameer Manekar,EMERGING MARKETS-Most Asian emerging shares rise as taper fears ease - Reuters,"* Indian shares, rupee gain ahead of inflation data * Philippine c.bank seen holding key rate - Reuters poll * Thai baht bearish bets highest in six years - Reuters poll By Sameer Manekar Aug 12 (Reuters) - Most emerging markets in Asia rose on Thursday, with…",https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PJ1MX,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12T07:44:00Z,"* Indian shares, rupee gain ahead of inflation data
 * Philippine c.bank seen holding key rate - Reuters poll
 * Thai baht bearish bets highest in six years - Reuters poll
By Sameer Manekar
 Aug … [+3574 chars]",reuters,Reuters
1,"Clara-laeila Laudette,Belén Carreño",Four beats five as pandemic prompts shorter working week trials - Reuters,"From travel to technology, employers across the globe are offering four day weeks as incentives to woo workers after the coronavirus pandemic upended their working patterns.",https://www.reuters.com/world/the-great-reboot/four-beats-five-pandemic-prompts-shorter-working-week-trials-2021-08-12/,https://www.reuters.com/resizer/t8ARyOYH_gOik-jspss7xrB-12A=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ESA664M25RMKJFGFZ4LIL53XCI.jpg,2021-08-12T11:15:00Z,"MADRID, Aug 12 (Reuters) - From travel to technology, employers across the globe are offering four day weeks as incentives to woo workers after the coronavirus pandemic upended their working patterns… [+5342 chars]",reuters,Reuters
