,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Alison Frankel,Shareholder firms fight to lead Facebook privacy derivative suit in Delaware - Reuters,"In a pair of bare-knuckled briefs made public on Tuesday, two shareholder groups led by major pension funds told Vice Chancellor Joseph Slights of Delaware Chancery Court why he should pick them – and should definitely not pick the other guys – to lead shareh…",https://www.reuters.com/legal/litigation/shareholder-firms-fight-lead-facebook-privacy-derivative-suit-delaware-2021-08-11/,https://www.reuters.com/resizer/1212_HWyeJOC9fDo802vp-_8R9o=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3TGA3XMYAZOWDMMH74AXJSZDCI.jpg,2021-08-11T20:53:00Z,"The sun rises behind the entrance sign to Facebook headquarters in Menlo Park, California. REUTERS/Beck Diefenbach 
<ul><li>
Law firms</li><li>
Related documents</li></ul>
The company and law fir… [+7409 chars]",reuters,Reuters
1,Reuters Staff,China to fund Myanmar projects in agreement with junta - Reuters,"China will transfer over $6 million to Myanmar's government to fund 21 development projects, Myanmar's foreign ministry said, in a sign of cooperation resuming under the junta that overthrew an elected government on Feb. 1.",https://www.reuters.com/article/us-myanmar-politics-china-idUSKBN2FC0CP,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-11T04:41:00Z,"By Reuters Staff
(Reuters) - China will transfer over $6 million to Myanmars government to fund 21 development projects, Myanmars foreign ministry said, in a sign of cooperation resuming under the j… [+1337 chars]",reuters,Reuters
2,Reuters,"Wildfires rage in southern Italy, man dies - Reuters","Fires ravaged southern Italy on Wednesday, burning thousands of acres of land and killing a man in his home, as temperatures hit records well above 40 degrees Celsius (104°F) and hot winds stoked the flames.",https://www.reuters.com/world/europe/wildfires-rage-southern-italy-man-dies-2021-08-11/,https://www.reuters.com/resizer/7Iev41Eib747JJePsMq36DRvbUA=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QUY56SW5V5OF5G4FYR3WKZ74QE.jpg,2021-08-11T16:13:00Z,"ROME, Aug 11 (Reuters) - Fires ravaged southern Italy on Wednesday, burning thousands of acres of land and killing a man in his home, as temperatures hit records well above 40 degrees Celsius (104°F)… [+1827 chars]",reuters,Reuters
3,Reuters,China to fund Myanmar projects in agreement with junta - Reuters,"China will transfer over $6 million to Myanmar's government to fund 21 development projects, Myanmar's foreign ministry said, in a sign of cooperation resuming under the junta that overthrew an elected government on Feb. 1.",https://www.reuters.com/world/china-fund-myanmar-projects-agreement-with-junta-2021-08-11/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=48,2021-08-11T04:40:00Z,"Aug 11 (Reuters) - China will transfer over $6 million to Myanmar's government to fund 21 development projects, Myanmar's foreign ministry said, in a sign of cooperation resuming under the junta that… [+1468 chars]",reuters,Reuters
4,Mark Hosenball,First person linked to 'Three Percenters' to plead guilty in U.S. Capitol riot - Reuters,"A New Jersey woman on Monday became the first person associated with the ""Three Percenters"" militia to agree to plead guilty to a charge related to the Jan. 6 assault on the U.S. Capitol by supporters of then-President Donald Trump.",https://www.reuters.com/world/us/first-person-linked-three-percenters-plead-guilty-us-capitol-riot-2021-08-11/,https://www.reuters.com/resizer/089Ise3ocRHmiukDJRO0l35PeRw=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/X4LCUXCEVFMJ3F2CYKCG4SQO2U.jpg,2021-08-11T19:56:00Z,"WASHINGTON, Aug 11 (Reuters) - A New Jersey woman on Monday became the first person associated with the ""Three Percenters"" militia to agree to plead guilty to a charge related to the Jan. 6 assault o… [+1605 chars]",reuters,Reuters
5,Reuters,Myanmar youths fleeing security forces jump from building -media - Reuters,"At least three people in Myanmar died and several were seriously injured after apparently jumping from an apartment building in the main city of Yangon in a bid to escape a raid by security forces, according to media reports.",https://www.reuters.com/world/asia-pacific/myanmar-youths-fleeing-security-forces-jump-building-media-2021-08-11/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=48,2021-08-11T04:31:00Z,Aug 11 (Reuters) - At least three people in Myanmar died and several were seriously injured after apparently jumping from an apartment building in the main city of Yangon in a bid to escape a raid by… [+2238 chars],reuters,Reuters
6,Reuters Staff,Nasdaq futures dip after infrastructure bill clears Senate - Reuters,"Nasdaq futures fell on Wednesday, while Dow indicators rose slightly as investors swapped heavyweight technology stocks with economically sensitive sectors following the approval of a U.S. infrastructure bill.",https://www.reuters.com/article/us-usa-stocks-idUSKBN2FC16C,https://static.reuters.com/resources/r/?m=02&d=20210811&t=2&i=1571611438&r=LYNXMPEH7A0LT&w=800,2021-08-11T11:18:00Z,"By Reuters Staff
(Reuters) - Nasdaq futures fell on Wednesday, while Dow indicators rose slightly as investors swapped heavyweight technology stocks with economically sensitive sectors following the… [+1939 chars]",reuters,Reuters
7,"Karolina Tagaris,Hamid Ahmed","At least 65 killed in Algerian wildfires, Greece and Italy burn - Reuters","Exhausted Greek firefighters battled blazes for a ninth day on Wednesday amid sweltering temperatures that also helped stoke wildfires in Algeria, where at least 65 people died, and in southern Italy.",https://www.reuters.com/world/least-65-killed-algerian-wildfires-greece-italy-burn-2021-08-11/,https://www.reuters.com/resizer/7UcQiF18CH280Zbf17QJa8b4mW4=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6QNZKOSHNZLUHHFZKTGHLKBX64.jpg,2021-08-11T18:34:00Z,"ATHENS/ALGIERS, Aug 11 (Reuters) - Exhausted Greek firefighters battled blazes for a ninth day on Wednesday amid sweltering temperatures that also helped stoke wildfires in Algeria, where at least 65… [+3512 chars]",reuters,Reuters
8,"Yiming Woo,Mathieu Rosemain","The pull of brand Messi: shirts, social media and TV rights - Reuters","Replica shirts bearing his name are flying off the shelves, followers are flocking by the million to his new club's social media accounts and TV rights suddenly look a bargain: Lionel Messi's arrival in Paris has set the money train in motion.",https://www.reuters.com/lifestyle/sports/pull-brand-messi-shirts-social-media-tv-rights-2021-08-11/,https://www.reuters.com/resizer/F14VoOC4vjJCBhqgORT7rOlK5qQ=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/C2OIEIU3SZI2VCIFMT7DLBPQS4.jpg,2021-08-11T16:19:00Z,"PARIS, Aug 11 (Reuters) - Replica shirts bearing his name are flying off the shelves, followers are flocking by the million to his new club's social media accounts and TV rights suddenly look a barga… [+3231 chars]",reuters,Reuters
9,Sarah Marsh,Coronavirus surge pushes Cuba's healthcare system to brink - Reuters,Cuba is bringing back hundreds of doctors working abroad and converting hotels into isolation centers and hospitals in order to battle a COVID-19 crisis that is overwhelming healthcare and mortuary services in parts of the Caribbean island.,https://www.reuters.com/world/americas/coronavirus-surge-pushes-cubas-healthcare-system-brink-2021-08-11/,https://www.reuters.com/resizer/6Xrn-6V1OwQECqk-k3UXC2vSToM=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3XTMPYNR6VKZPHR7EYP2BSATPA.jpg,2021-08-11T16:38:00Z,"FILE PHOTPO: A nurse asks a family to get vaccination at a vaccination center amid concerns about the spread of the coronavirus disease (COVID-19), in Havana, Cuba, June 17, 2021. REUTERS/Alexandre M… [+4493 chars]",reuters,Reuters
