,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters Staff,Facebook pressed by U.S. lawmakers on disabling NYU research accounts - Reuters,"U.S. lawmakers pressed Facebook Inc on Monday on why it disabled the accounts of researchers studying political ads on the social media platform, saying it was ""imperative"" that experts be allowed to look into ""harmful activity ... proliferating on its platfo…",https://www.reuters.com/article/us-tech-facebook-congress-idUSKBN2FA0N9,https://static.reuters.com/resources/r/?m=02&d=20210809&t=2&i=1571400865&r=LYNXMPEH780AH&w=800,2021-08-09T09:00:00Z,"By Reuters Staff
FILE PHOTO: Facebook app is seen on a smartphone in this illustration taken, July 13, 2021. REUTERS/Dado Ruvic/Illustration/File Photo
WASHINGTON (Reuters) - U.S. lawmakers pressed… [+1637 chars]",reuters,Reuters
1,Sarah Marsh,The Facebook group that staged first in Cuba's wave of protests - Reuters,"""Tired of having no electricity?"" read a post in a Facebook group for residents of the small Cuban town of San Antonio de los Banos on July 10. ""Fed up of having to listen to the impudence of a government that doesn't care about you?""",https://www.reuters.com/world/americas/facebook-group-that-staged-first-cubas-wave-protests-2021-08-09/,https://www.reuters.com/resizer/9ybN8SHNS7sPZ-X1mjU38_WdqL4=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/7HYKCS232VN6PIQW5IRGFLNI3Q.jpg,2021-08-09T15:38:00Z,"People shout slogans against the government during a protest against and in support of the government, amidst the coronavirus disease (COVID-19) outbreak, in Havana, Cuba July 11, 2021. REUTERS/Alexa… [+5806 chars]",reuters,Reuters
2,Reuters,"EU extends deadline for decision on Facebook, Kustomer deal to Dec. 15 - Reuters","EU antitrust regulators have extended the deadline for a decision on Facebook's <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> acquisition of U.S. customer service startup Kustomer by a week to Dec. 15, a European Commission filin…",https://www.reuters.com/technology/eu-extends-deadline-decision-facebook-kustomer-deal-dec-15-2021-08-09/,https://www.reuters.com/resizer/tZSGbvwuyoRFNtWMPVXNEqvXszQ=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RZB2LLPIORIODOJ5GITY7FRYE4.jpg,2021-08-09T10:12:00Z,"Facebook logo is reflected in a drop on a syringe needle in this illustration photo taken March 16, 2021. REUTERS/Dado Ruvic/Illustration/File PhotoBRUSSELS, Aug 9 (Reuters) - EU antitrust regulators… [+1017 chars]",reuters,Reuters
3,Reuters Fact Check,Fact Check-Photo does not show Sen. Rand Paul getting COVID-19 vaccine - Reuters,"A photograph from 2015, of U.S Republican Senator Rand Paul getting a Hepatitis A booster shot has been mislabeled online to say it shows him being vaccinated against COVID-19.",https://www.reuters.com/article/factcheck-randpaul-vaccine-idUSL1N2PG1K9,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-09T18:53:00Z,"A photograph from 2015, of U.S Republican Senator Rand Paul getting a Hepatitis A booster shot has been mislabeled online to say it shows him being vaccinated against COVID-19.
The claim emerged aft… [+1600 chars]",reuters,Reuters
