,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,Anti-military protests in Myanmar on anniversary of 1988 uprising - Reuters,"Protests against Myanmar's military government broke out across the nation on Sunday, the anniversary of the bloody suppression of a 1988 uprising against a previous army junta.",https://www.reuters.com/world/asia-pacific/anti-military-protests-myanmar-anniversary-1988-uprising-2021-08-08/,https://www.reuters.com/resizer/M-IJL5dmISj2yQE6f1s1MZvt0hA=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/EBHBPQ4XP5LDTKRAGD4D2FFDQY.jpg,2021-08-08T08:12:00Z,"Myanmar's junta chief Senior General Min Aung Hlaing, who ousted the elected government in a coup on February 1, presides an army parade on Armed Forces Day in Naypyitaw, Myanmar, March 27, 2021. REU… [+2394 chars]",reuters,Reuters
1,Reuters,Taliban capture government buildings in Afghan city of Kunduz - Reuters,"Taliban fighters have seized key government buildings in the northeastern Afghan city of Kunduz, leaving government forces hanging onto control of the airport and their own base, a provincial assembly lawmaker said on Sunday.",https://www.reuters.com/world/asia-pacific/taliban-capture-government-buildings-afghan-city-kunduz-2021-08-08/,https://www.reuters.com/resizer/6ckJlIj7Q0y2Q8w0QHqfIcws6NM=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UBY6FONZP5IYFFLKMNYUQOVRY4.jpg,2021-08-08T09:18:00Z,"Afghan security forces patrol at the Kunduz, Afghanistan April 30, 2015. REUTERS/Omar SobhaniKABUL, Aug 8 (Reuters) - Taliban fighters have seized key government buildings in the northeastern Afghan … [+1939 chars]",reuters,Reuters
2,Reuters Staff,"Taliban seize government buildings in Afghan cities Kunduz, Sar-e Pul - Reuters","Taliban fighters have seized key government buildings in the northeastern Afghan city of Kunduz, leaving government forces hanging onto control of the airport and their own base, a provincial assembly lawmaker said on Sunday.",https://www.reuters.com/article/us-afghanistan-conflict-idUSKBN2F908T,https://static.reuters.com/resources/r/?m=02&d=20210808&t=2&i=1571330003&r=LYNXMPEH77055&w=800,2021-08-08T09:13:00Z,"By Reuters Staff
KABUL (Reuters) -Taliban fighters have seized key government buildings in the northeastern Afghan city of Kunduz, leaving government forces hanging onto control of the airport and t… [+2204 chars]",reuters,Reuters
3,Reuters Staff,Anti-military protests in Myanmar on anniversary of 1988 uprising,"Protests against Myanmar's military government broke out across the nation on Sunday, the anniversary of the bloody suppression of a 1988 uprising against a previous army junta.",https://www.reuters.com/article/us-myanmar-politics-idUSKBN2F907E,https://static.reuters.com/resources/r/?m=02&d=20210808&t=2&i=1571327476&r=LYNXMPEH7704J&w=800,2021-08-08T07:40:38Z,"By Reuters Staff
(Reuters) - Protests against Myanmars military government broke out across the nation on Sunday, the anniversary of the bloody suppression of a 1988 uprising against a previous army… [+2282 chars]",reuters,Reuters
