,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,Facebook removes dozens of vaccine misinformation 'superspreaders' - Reuters,"Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> said it removed over three dozen pages spreading misinformation about COVID-19 vaccines, after the White House called on social media firms to tighten controls on pandemi…",https://www.reuters.com/technology/facebook-removes-dozens-vaccine-misinformation-superspreaders-2021-08-18/,https://www.reuters.com/resizer/Gr0pF8aVSeUqMW9EXVSEzM-neuw=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RQI7ZERQP5JOHHVQOBASGMATUQ.jpg,2021-08-18T18:46:00Z,"Facebook app is seen on a smartphone in this illustration taken, July 13, 2021. REUTERS/Dado Ruvic/IllustrationAug 18 (Reuters) - Facebook Inc (FB.O) said it removed over three dozen pages spreading … [+1391 chars]",reuters,Reuters
1,Reuters Staff,BRIEF-Facebook Makes Some Contractors Come Into Offices Despite Delaying Return For U.S. Employees - CNBC - Reuters,* FACEBOOK MAKES SOME CONTRACTORS COME INTO OFFICES DESPITE DELAYING RETURN FOR U.S. EMPLOYEES - CNBC Further company coverage:,https://www.reuters.com/article/brief-facebook-makes-some-contractors-co-idUSFWN2PP0SM,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-18T16:26:00Z,"By Reuters Staff
Aug 18 (Reuters) - Facebook Inc:
* FACEBOOK MAKES SOME CONTRACTORS COME INTO OFFICES DESPITE DELAYING RETURN FOR U.S. EMPLOYEES - CNBC Further company coverage:",reuters,Reuters
2,Elizabeth Culliford,Facebook says it would not automatically allow Taliban if U.S. changed designation - Reuters,"Facebook may not lift its ban on the Taliban even if the United States stops imposing sanctions on the group, which has rapidly taken control of Afghanistan, the social media company's policy chief said on Wednesday.",https://www.reuters.com/technology/facebook-says-it-would-not-automatically-allow-taliban-if-us-changed-designation-2021-08-18/,https://www.reuters.com/resizer/XCpkxfaB7gI_nCBzZxaOeMVFymc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2OGXZ653EROXRGMYI5WJSG4IAE.jpg,2021-08-18T17:25:00Z,"A 3D-printed Facebook logo is seen placed on a keyboard in this illustration taken March 25, 2020. REUTERS/Dado Ruvic/IllustrationAug 18 (Reuters) - Facebook may not lift its ban on the Taliban even … [+1002 chars]",reuters,Reuters
3,Reuters,"Exiled Ghani says he left Kabul to prevent bloodshed, did not take money - Reuters","Afghan President Ashraf Ghani, speaking from exile in the United Arab Emirates, said on Wednesday that he had left Kabul to prevent bloodshed and denied reports he took large sums of money with him as he departed the presidential palace.",https://www.reuters.com/world/asia-pacific/exiled-ghani-says-he-left-kabul-prevent-bloodshed-did-not-take-money-2021-08-18/,https://www.reuters.com/resizer/OAQs-xmQ9SW1h5dg0smYUEwWiIw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5FQMAEE4P5MTLP57ANQIMUCZCE.jpg,2021-08-18T17:58:00Z,"Afghan President Ashraf Ghani speaks at the parliament in Kabul, Afghanistan August 2, 2021. REUTERS/StringerAug 18 (Reuters) - Afghan President Ashraf Ghani, speaking from exile in the United Arab E… [+635 chars]",reuters,Reuters
4,Sarah Marsh,"Rare doctors' outcry highlights Cuba's COVID crisis, growing dissent - Reuters","Several doctors in Cuba have taken to social media to decry shortages of medicine, oxygen and other materials needed to battle a dire COVID-19 outbreak, in a rare public denunciation of conditions in the island's hallowed healthcare system.",https://www.reuters.com/world/americas/rare-doctors-outcry-highlights-cubas-covid-crisis-growing-dissent-2021-08-18/,https://www.reuters.com/resizer/gkVgG2k7141KQmfSGz78vhJauCY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3HKAYSK445IWJDJC3NKDJGV7VY.jpg,2021-08-18T09:10:00Z,"A horse cart passes a flag displayed for the arrival of the Cuban medical brigade of the Henry Reeve Contingent from Andorra amid concerns about the spread of the coronavirus disease (COVID-19), in H… [+5563 chars]",reuters,Reuters
5,Reuters Fact Check,Fact Check-Climate change is not a ploy for communism; a Greta Thunberg meme has been digitally altered - Reuters,"Climate change is real and is not a ploy to instigate a rise in communism, despite a widely shared online meme claiming otherwise.",https://www.reuters.com/article/factcheck-climate-greta-idUSL1N2PP0YK,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-18T12:55:00Z,"Climate change is real and is not a ploy to instigate a rise in communism, despite a widely shared online meme claiming otherwise.
The meme, posted to Facebook and Instagram (here , here , here , he… [+2149 chars]",reuters,Reuters
6,Jonathan Stempel,Court rejects 'shockingly low' 4-year sentence for NY woman who aided Islamic State - Reuters,"A U.S. federal appeals court on Wednesday threw out what it called a ""shockingly low"" four-year prison term for a Brooklyn woman who admitted to supporting Islamic State, and ordered that she be resentenced.",https://www.reuters.com/world/us/court-rejects-shockingly-low-4-year-sentence-ny-woman-who-aided-islamic-state-2021-08-18/,https://www.reuters.com/resizer/R6lP26JZ-MMtPX9CCbturknWhno=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5YLBFZB2GNNOJHRDNR2QDV645A.jpg,2021-08-18T15:58:00Z,"NEW YORK, Aug 18 (Reuters) - A U.S. federal appeals court on Wednesday threw out what it called a ""shockingly low"" four-year prison term for a Brooklyn woman who admitted to supporting Islamic State,… [+2044 chars]",reuters,Reuters
7,Reuters,Bolivia's Morales says he would be exonerated if new probes on 'massacres' opened - Reuters,"Former Bolivian President Evo Morales on Wednesday said he would be exonerated if new investigations were opened based on an independent report that found that ""massacres"" took place during the end of his presidency and the beginning of his successor's.",https://www.reuters.com/world/americas/bolivias-morales-says-he-would-be-exonerated-if-new-probes-massacres-opened-2021-08-18/,https://www.reuters.com/resizer/ijBCf1vTcxWmfNCsVPjYxJPb5zA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/S7PYD6EQPFL6PEC7MOMMM67S74.jpg,2021-08-18T21:45:00Z,"LA PAZ, Aug 18 (Reuters) - Former Bolivian President Evo Morales on Wednesday said he would be exonerated if new investigations were opened based on an independent report that found that ""massacres"" … [+2116 chars]",reuters,Reuters
8,Reuters,Australia great Kefu and family 'doing well' after violent attack - Reuters,Rugby World Cup winner and Tonga coach Toutai Kefu said on Wednesday he and his children are out of hospital after they suffered serious injuries in a violent attack by intruders at their Brisbane home.,https://www.reuters.com/lifestyle/sports/australia-great-kefu-family-doing-well-after-violent-attack-2021-08-18/,https://www.reuters.com/resizer/1-sd5LHCyezKDMAeQCFHftOdn8Q=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ISTSKDSCUZLCDFEMWBT7FBOA4A.jpg,2021-08-18T09:23:00Z,"Rugby Union - Rugby World Cup 2019 - Pool C - France v Tonga - Kumamoto Stadium, Kumamoto, Japan - October 6, 2019 Tonga head coach Toutai Kefu during the warm up before the match REUTERS/Edgar SuAug… [+1834 chars]",reuters,Reuters
9,Sarah Marsh,"New Cuban decree tightens controls on social media, sparking outrage - Reuters","Cuba introduced tighter controls on the use of social media this week, including a ban on publications that might damage ""the country's prestige,"" angering many citizens and international rights activists.",https://www.reuters.com/world/americas/new-cuban-decree-tightens-controls-social-media-sparking-outrage-2021-08-18/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=49,2021-08-18T20:34:00Z,"HAVANA, Aug 18 (Reuters) - Cuba introduced tighter controls on the use of social media this week, including a ban on publications that might damage ""the country's prestige,"" angering many citizens an… [+3887 chars]",reuters,Reuters
