,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters Fact Check,Fact Check-Image does not show journalists and doctors hanged in Nuremberg - Reuters,"Facebook users have shared a photo said to show journalists and doctors executed at Nuremberg in Germany. However, the image was taken in Ukraine and shows Nazi war criminals who were charged with mass murder.",https://www.reuters.com/article/factcheck-nuremberg-photo-idUSL1N2PA0LA,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-03T09:37:00Z,"Facebook users have shared a photo said to show journalists and doctors executed at Nuremberg in Germany. However, the image was taken in Ukraine and shows Nazi war criminals who were charged with ma… [+1921 chars]",reuters,Reuters
1,Reuters,"Facebook's WhatsApp rolls out option for disappearing photos, videos to take on Snapchat - Reuters","Users of Facebook Inc's <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> WhatsApp can now send disappearing photos and videos on its platform starting this week, as it looks to better compete with Snap Inc's <a href=""https://www.reu…",https://www.reuters.com/technology/facebooks-whatsapp-rolls-out-option-disappearing-photos-videos-take-snapchat-2021-08-03/,https://www.reuters.com/resizer/je1sDD__xEoYwXoXBTfTM1sd3jg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/F4TEM6N6PZINVKX2T2QZDSX2QA.jpg,2021-08-03T23:03:00Z,"WhatsApp app is seen on a smartphone in this illustration taken, July 13, 2021. REUTERS/Dado Ruvic/IllustrationAug 3 (Reuters) - Users of Facebook Inc's (FB.O) WhatsApp can now send disappearing phot… [+765 chars]",reuters,Reuters
2,Yimou Lee,Taiwan's medals revive debate over use of 'Chinese Taipei' - Reuters,"After Taiwan beat China in the badminton men's doubles final at the Tokyo Olympic Games on Saturday, gold medalist Wang Chi-Lin made a Facebook comment that cast a spotlight on a contentious debate on the Chinese-claimed island: ""I'm from Taiwan"".",https://www.reuters.com/lifestyle/sports/taiwans-medals-revive-debate-over-use-chinese-taipei-2021-08-03/,https://www.reuters.com/resizer/9YyCGEDWzwyrvRxQRDJXIoGVOqU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KP4CZU7PYRJWDJG3TCUOHIODWY.jpg,2021-08-03T09:38:00Z,"Tokyo 2020 Olympics - Badminton - Men's Doubles - Medal Ceremony - MFS - Musashino Forest Sport Plaza, Tokyo, Japan July 31, 2021. Gold medallists Lee Yang of Taiwan and Wang Chi-Lin of Taiwan pose w… [+4084 chars]",reuters,Reuters
3,Reuters,"Reactions to report Gov. Cuomo sexually harassed multiple women, broke laws - Reuters","Politicians and former aides responded to the news of the New York attorney general's finding that Governor Andrew Cuomo sexually harassed multiple women and violated federal and state laws while creating a ""climate of fear"" in the workplace.",https://www.reuters.com/world/us/reactions-report-gov-cuomo-sexually-harassed-multiple-women-broke-laws-2021-08-03/,https://www.reuters.com/resizer/gkHQ82lEFMhAZrsDgQAen2AwNzo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OC2WEFTBGRPGRMCQKZRL2ZMP3U.jpg,2021-08-03T17:47:00Z,"New York Governor Andrew Cuomo gives a press conference in the Manhattan borough of New York City, New York, U.S., June 2, 2021. REUTERS/Carlo AllegriAug 3 (Reuters) - Politicians and former aides re… [+1729 chars]",reuters,Reuters
4,Echo Wang,"S&P closes at record high as Apple, healthcare stocks help shrug off Delta worries - Reuters","Wall Street's main indexes closed higher on Tuesday on gains in Apple and healthcare stocks, despite concerns over a surge in the Delta variant of the coronavirus taking some shine off an upbeat corporate earnings season.",https://www.reuters.com/business/sp-closes-record-high-apple-healthcare-stocks-help-shrug-off-delta-worries-2021-08-03/,https://www.reuters.com/resizer/-c5StKssmggNRhUWiv59VZcFWZQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RNVHEING4FNEBBUYDFJA2DLAYA.jpg,2021-08-03T20:08:00Z,"A street sign for Wall Street is seen outside the New York Stock Exchange (NYSE) in New York City, New York, U.S., July 19, 2021. REUTERS/Andrew Kelly NEW YORK, Aug 3 (Reuters) - Wall Street's main i… [+2887 chars]",reuters,Reuters
5,Echo Wang,"Apple, healthcare stocks help Wall St shrug off Delta worries - Reuters","Wall Street's main indexes rose on Tuesday on gains in Apple and healthcare stocks, even though concerns around a surge in the Delta variant of the coronavirus took some shine off an upbeat corporate earnings season.",https://www.reuters.com/business/apple-healthcare-stocks-help-wall-st-shrug-off-delta-worries-2021-08-03/,https://www.reuters.com/resizer/-c5StKssmggNRhUWiv59VZcFWZQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RNVHEING4FNEBBUYDFJA2DLAYA.jpg,2021-08-03T18:14:00Z,"A street sign for Wall Street is seen outside the New York Stock Exchange (NYSE) in New York City, New York, U.S., July 19, 2021. REUTERS/Andrew Kelly Aug 3 (Reuters) - Wall Street's main indexes ros… [+3594 chars]",reuters,Reuters
6,Echo Wang,"S&P 500 closes at record high as Apple, healthcare stocks help shrug off Delta worries - Reuters","The S&P 500 index closed at record high on Tuesday on gains in Apple and healthcare stocks, despite concerns over a surge in the Delta variant of the coronavirus taking some shine off an upbeat corporate earnings season.",https://www.reuters.com/business/sp-500-closes-record-high-apple-healthcare-stocks-help-shrug-off-delta-worries-2021-08-03/,https://www.reuters.com/resizer/-c5StKssmggNRhUWiv59VZcFWZQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RNVHEING4FNEBBUYDFJA2DLAYA.jpg,2021-08-03T20:52:00Z,"A street sign for Wall Street is seen outside the New York Stock Exchange (NYSE) in New York City, New York, U.S., July 19, 2021. REUTERS/Andrew Kelly NEW YORK, Aug 3 (Reuters) - The S&amp;P 500 inde… [+3535 chars]",reuters,Reuters
7,Natalie Vikhrov,'Constantly pursued': Ukraine's LGBT+ activists attacked online and in the street - Reuters,"For days, death threats and homophobic insults have been pouring into Sofiia Lapina's messaging inbox - a constant reminder of the hatred she often encounters as an LGBT+ rights activist in Ukraine.",https://www.reuters.com/article/us-ukraine-lgbt-idUSKBN2F414J,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-03T10:49:00Z,"(Thomson Reuters Foundation) - For days, death threats and homophobic insults have been pouring into Sofiia Lapinas messaging inbox - a constant reminder of the hatred she often encounters as an LGBT… [+5297 chars]",reuters,Reuters
8,"Phil Stewart,Idrees Ali","As Delta surges, U.S. military braces for mandatory COVID-19 vaccines - Reuters","During his last days before dying from COVID-19, 26-year-old Navy Petty Officer 2nd Class Cody Myers played a breathing game with himself at a Florida hospital to see how high he could get his oxygen levels.",https://www.reuters.com/business/healthcare-pharmaceuticals/delta-surges-us-military-braces-mandatory-covid-19-vaccines-2021-08-03/,https://www.reuters.com/resizer/sHeC_WEFjA3AN9MXRuoQHFtdtp4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/D3YB7TI34NMFNMXK6BMXJTYD4A.jpg,2021-08-03T17:12:00Z,"WASHINGTON, Aug 3 (Reuters) - During his last days before dying from COVID-19, 26-year-old Navy Petty Officer 2nd Class Cody Myers played a breathing game with himself at a Florida hospital to see ho… [+4841 chars]",reuters,Reuters
9,Sagarika Jaisinghani,"CORRECTED-US STOCKS-Apple, healthcare stocks lift S&P 500 amid Delta variant worries - Reuters","<ol><li>CORRECTED-US STOCKS-Apple, healthcare stocks lift S&P 500 amid Delta variant worries  Reuters
</li><li>Dow Jones, S&P 500 vault above Nasdaq in volatile trading as new COVID rules pile up  Seeking Alpha
</li><li>3 Stocks to Buy for Profits From Earn…",https://www.reuters.com/article/usa-stocks-idUSL4N2PA3F4,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-03T16:34:00Z,"(Corrects brokerage name in paragraph 13)
* Dupont, Discovery slide despite strong earnings
* Translate Bio surges on sale to Sanofi in $3.2-bln deal
* Focus on services sector data, jobs report t… [+3254 chars]",reuters,Reuters
