,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,Facebook considers forming an election commission -NY Times - Reuters,"Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> has approached academics and policy experts about forming a commission to advise it on issues relating to global elections, the New York Times <a href=""https://www.nytime…",https://www.reuters.com/technology/facebook-considers-forming-an-election-commission-ny-times-2021-08-25/,https://www.reuters.com/resizer/Ghn5GE_TA_ibsD8f7H66wq7bU9E=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VABCEWKV7FONBKHVMHI7ALSR4I.jpg,2021-08-26T02:39:00Z,"A 3D printed Facebook logo is placed between small toy people figures in front of a keyboard in this illustration taken April 12, 2020. REUTERS/Dado Ruvic/IllustrationAug 25 (Reuters) - Facebook Inc … [+1400 chars]",reuters,Reuters
1,Reuters,Ukraine's Ombudsman office attacked with a Molotov cocktail - Reuters,"Ukrainian police detained an unidentified man who on Thursday threw a Molotov cocktail at the door of the office of the Ombudsman for human rights in central Kyiv, the Ombudsman said.",https://www.reuters.com/world/europe/ukraines-ombudsman-office-attacked-with-molotov-cocktail-2021-08-26/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-26T13:50:00Z,"KYIV, Aug 26 (Reuters) - Ukrainian police detained an unidentified man who on Thursday threw a Molotov cocktail at the door of the office of the Ombudsman for human rights in central Kyiv, the Ombuds… [+490 chars]",reuters,Reuters
2,Reuters Staff,"Futures edge lower ahead of weekly jobless claims, GDP numbers - Reuters","U.S. stock index futures edged lower on Thursday, a day after the S&P 500 and the Nasdaq hit record closing highs, as investors refrained from making big bets ahead of a barrage of economic data releases and the Federal Reserve's policy summit.",https://www.reuters.com/article/us-usa-stocks-idUSKBN2FR10K,https://static.reuters.com/resources/r/?m=02&d=20210826&t=2&i=1572992893&r=LYNXMPEH7P0FS&w=800,2021-08-26T11:24:00Z,"By Reuters Staff
(Reuters) - U.S. stock index futures edged lower on Thursday, a day after the S&amp;P 500 and the Nasdaq hit record closing highs, as investors refrained from making big bets ahead … [+2330 chars]",reuters,Reuters
3,Devik Jain,"Wall St set to open lower, taper talks in focus - Reuters",U.S. stocks were set to slip from their record perch on Thursday as mixed earnings reports and economic data kept investors on edge ahead of the Federal Reserve's policy summit.,https://www.reuters.com/business/futures-edge-lower-ahead-weekly-jobless-claims-gdp-numbers-2021-08-26/,https://www.reuters.com/resizer/X7ib10BWuErjIfLPUVJqOcXOZxQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OZTRBH2DD5LGZCWXQ5IMDO7BKI.jpg,2021-08-26T13:15:00Z,"A street sign for Wall Street is seen outside the New York Stock Exchange (NYSE) in New York City, New York, U.S., July 19, 2021. REUTERS/Andrew Kelly/File PhotoAug 26 (Reuters) - U.S. stocks were se… [+3180 chars]",reuters,Reuters
4,Jamie McGeever,RPT-COLUMN-Wall Street boom or bubble? Don't blame it all on the Fed: Jamie McGeever - Reuters,"Wall Street is screeching to yet another all-time high, just as the Fed's Jackson Hole symposium is set to address wealth inequality and the central bank's role in fueling asset price inflation is once again coming under harsh scrutiny.",https://www.reuters.com/article/markets-stocks-valuations-idUSL1N2PX097,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26T11:00:00Z,"(Repeats to wider audience with no changes to text)
Aug 26 (Reuters) - Wall Street is screeching to yet another all-time high, just as the Feds Jackson Hole symposium is set to address wealth inequa… [+4515 chars]",reuters,Reuters
5,Jamie Mcgeever,Column: Wall Street boom or bubble? Don't blame it all on the Fed: Jamie McGeever - Reuters,"Wall Street is screeching to yet another all-time high, just as the Fed's Jackson Hole symposium is set to address wealth inequality and the central bank's role in fueling asset price inflation is once again coming under harsh scrutiny.",https://www.reuters.com/lifestyle/wealth/wall-street-boom-or-bubble-dont-blame-it-all-fed-jamie-mcgeever-2021-08-26/,https://www.reuters.com/resizer/i4y-QIkRO0Thl-wcSn70Llcsk_c=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3HNFX5APNZI5RL3JQHQLJUWQMQ.jpg,2021-08-26T05:10:00Z,"A Wall Street sign is pictured outside the New York Stock Exchange in New York, October 28, 2013. REUTERS/Carlo AllegriAug 26 (Reuters) - Wall Street is screeching to yet another all-time high, just … [+4831 chars]",reuters,Reuters
