,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,Instacart names former Facebook global ads chief as president - Reuters,"Instacart on Wednesday named Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> veteran Carolyn Everson as president and said she would lead its retail and advertising businesses, as the grocery delivery company hires mor…",https://www.reuters.com/business/retail-consumer/instacart-names-former-facebook-global-ads-chief-president-2021-08-04/,https://www.reuters.com/resizer/orKM4grRcuQslCbiOqbz-s_HBzM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/PA5VLEKNBFLHBODC73C4JCDV44.jpg,2021-08-04T15:32:00Z,"Facebook's Global Marketing Solutions Vice President Carolyn Everson gestures during a panel discussion at the annual Consumer Electronics Show (CES) in Las Vegas, Nevada January 8, 2014. REUTERS/Rob… [+1567 chars]",reuters,Reuters
1,Reuters Staff,Instacart names former Facebook global ads chief as president - Reuters,"Instacart on Wednesday named Facebook Inc veteran Carolyn Everson as president and said she would lead its retail and advertising businesses, as the grocery delivery company hires more fresh leadership ahead of an expected public listing.",https://www.reuters.com/article/instacart-moves-everson-idUSL4N2PA3ZD,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-04T15:02:00Z,"By Reuters Staff
Aug 4 (Reuters) - Instacart on Wednesday named Facebook Inc veteran Carolyn Everson as president and said she would lead its retail and advertising businesses, as the grocery delive… [+1268 chars]",reuters,Reuters
2,Reuters,U.S. lawmaker says Facebook move to cut off researcher access is 'deeply concerning' - Reuters,"Senator Mark Warner said on Wednesday that Facebook Inc's <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> move to disable the accounts of a group of New York University researchers who were studying political ads on its platform wa…",https://www.reuters.com/technology/us-lawmaker-says-facebook-move-cut-off-researcher-access-is-deeply-concerning-2021-08-04/,https://www.reuters.com/resizer/fR44toA2IKrZ-jjj4Ec1L94wbiU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XIJ5ZV4OL5N7FKBIZZA2AFDORY.jpg,2021-08-04T16:47:00Z,"Facebook app is seen on a smartphone in this illustration taken, July 13, 2021. REUTERS/Dado Ruvic/Illustration/File PhotoWASHINGTON, Aug 4 (Reuters) - Senator Mark Warner said on Wednesday that Face… [+2168 chars]",reuters,Reuters
3,Reuters Fact Check,Fact Check-Video does not show U.S. police planting evidence - Reuters,"A viral video filmed in the United States appears to show police planting evidence of drug dealing in a car, but bodycam recordings provided by the police show this was not the case.",https://www.reuters.com/article/factcheck-video-evidence-idUSL1N2PB0LH,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-04T08:48:00Z,"A viral video filmed in the United States appears to show police planting evidence of drug dealing in a car, but bodycam recordings provided by the police show this was not the case.
The clip, filme… [+2333 chars]",reuters,Reuters
4,Jan Wolfe,Lawyers sanctioned over 'fantastical' suit alleging 2020 U.S. election was stolen - Reuters,"A U.S. judge on Wednesday sanctioned two lawyers who brought a lawsuit alleging the 2020 presidential election was stolen from Donald Trump and his supporters, calling their case ""one enormous conspiracy theory.""",https://www.reuters.com/world/us/lawyers-sanctioned-over-fantastical-suit-alleging-2020-us-election-was-stolen-2021-08-04/,https://www.reuters.com/resizer/uOWjS1xCQxBk8udNMhD1dX9Gvbw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZQ2ZTRAZ2BKYJG4MWWQBJ3LGXI.jpg,2021-08-04T16:23:00Z,"A privacy booth is seen as poll workers wait for voters at a voting site in Tripp Commons inside the Memorial Union building on the University of Wisconsin-Madison campus on Election Day in Madison, … [+2095 chars]",reuters,Reuters
5,Jan Wolfe,Lawyers sanctioned over 'fantastical' suit alleging 2020 U.S. election was stolen - Reuters,"A U.S. judge on Wednesday sanctioned two lawyers who brought a lawsuit alleging the 2020 presidential election was stolen from Donald Trump and his supporters, calling their case ""one enormous conspiracy theory.""",https://www.reuters.com/article/legal-us-usa-trump-lawyers-idUSKBN2F51ZZ,https://static.reuters.com/resources/r/?m=02&d=20210804&t=2&i=1570974430&r=LYNXMPEH7313N&w=800,2021-08-04T16:24:00Z,"(Reuters) - A U.S. judge on Wednesday sanctioned two lawyers who brought a lawsuit alleging the 2020 presidential election was stolen from Donald Trump and his supporters, calling their case one enor… [+1987 chars]",reuters,Reuters
6,Reuters,Karate-Russian Chernysheva out of Games after positive COVID-19 test - Reuters,"Russian karate athlete Anna Chernysheva has tested positive for COVID-19 and is out of the Tokyo Olympics, Russia's Karate Federation said.",https://www.reuters.com/lifestyle/sports/karate-russian-chernysheva-out-games-after-positive-covid-19-test-2021-08-04/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=48,2021-08-04T08:04:00Z,"MOSCOW, Aug 4 (Reuters) - Russian karate athlete Anna Chernysheva has tested positive for COVID-19 and is out of the Tokyo Olympics, Russia's Karate Federation said.
""Very sad news from Japan - our … [+868 chars]",reuters,Reuters
7,Echo Wang,"US STOCKS-Wall Street closes mixed, S&P 500 ends off record high - Reuters","* Indexes: Dow off 0.92%, S&P down 0.46%, Nasdaq up 0.13% (Updates prices, adds volume, adds bullets)",https://www.reuters.com/article/usa-stocks-idUSL1N2PB2SJ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-04T20:59:00Z,"(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window.)
* GM slides despite posting quarterly profit
* Private payrolls growth slows as labor s… [+3503 chars]",reuters,Reuters
8,Echo Wang,US STOCKS-S&P 500 slips from record high as job growth slows - Reuters,"* Indexes: Dow off 0.81%, S&P down 0.31%, Nasdaq up 0.16% (Adds comments; updates prices)",https://www.reuters.com/article/usa-stocks-idUSL4N2PB3YZ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-04T18:13:00Z,"(For a Reuters live blog on U.S., UK and European stock markets, click LIVE/ or type LIVE/ in a news window.)
* GM slides despite posting quarterly profit
* Private payrolls growth slows as labor s… [+3244 chars]",reuters,Reuters
9,Reuters,Sweden to widen police data-access powers to fight gang violence - Reuters,"Sweden plans to give police greater powers to access data from mobile phones as it bids to rein in a surge in gang-related violence plaguing its major cities, the government said on Wednesday.",https://www.reuters.com/world/europe/sweden-widen-police-data-access-powers-fight-gang-violence-2021-08-04/,https://www.reuters.com/resizer/WcPVJRdXR5ORYaYLQr_JXJpCj14=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RTSS7KYW6NNCTPM653JQKPRWXY.jpg,2021-08-04T10:58:00Z,"Police officers work at the scene after a shooting in Kristianstad, Sweden August 3, 2021. Johan Nilsson/ TT News Agency/via REUTERS STOCKHOLM, Aug 4 (Reuters) - Sweden plans to give police greater p… [+1816 chars]",reuters,Reuters
