,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Sankalp Phartiyal,Facebook teams up with Indian firm to help provide loans to small businesses - Reuters India,"Facebook <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> is partnering with an Indian online lending firm to help provide loans to small domestic businesses, its country head said on Friday, as part of a push to bring more business…",https://www.reuters.com/world/india/facebook-teams-up-with-indian-firm-help-provide-loans-small-businesses-2021-08-20/,https://www.reuters.com/resizer/iwGbvtwnshBmcpEa1HQVwT5iSd0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/75ZYQUFLUJOELECTVHHDK5D45A.jpg,2021-08-20T08:31:00Z,"NEW DELHI, Aug 20 (Reuters) - Facebook (FB.O) is partnering with an Indian online lending firm to help provide loans to small domestic businesses, its country head said on Friday, as part of a push t… [+1779 chars]",reuters,Reuters
1,Mike Scarcella,Meet the Big Law alum leading the FTC's lawsuit against Facebook - Reuters,"Daniel Matheson, the lead trial lawyer in the Federal Trade Commission's lawsuit against Facebook Inc, spent more than a decade in Big Law at three firms before arriving in 2016 at the agency, where adversaries and former colleagues described him in interview…",https://www.reuters.com/legal/litigation/meet-big-law-alum-leading-ftcs-lawsuit-against-facebook-2021-08-20/,https://www.reuters.com/resizer/nqpfoevRZVn4UTv_JPGJzTMNKPw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2DKBVXMAMJK6REB3CCO3IHFAYQ.jpg,2021-08-20T18:04:00Z,"Federal Trade Commission headquarters in Washington, D.C. REUTERS/Andrew Kelly
<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above… [+4928 chars]",reuters,Reuters
2,Reuters,Former head of Tunisia's Anti-Corruption Committee says he is under house arrest - Reuters,"The former head of Tunisia's Anti-Corruption Committee has been placed under house arrest, he said on Facebook on Friday, hours after security forces took control of the commission's headquarters.",https://www.reuters.com/world/africa/former-head-tunisias-anti-corruption-committee-says-he-is-under-house-arrest-2021-08-20/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-20T23:30:00Z,"TUNIS, Aug 20 (Reuters) - The former head of Tunisia's Anti-Corruption Committee has been placed under house arrest, he said on Facebook on Friday, hours after security forces took control of the com… [+1447 chars]",reuters,Reuters
3,Reuters Staff,"S&P 500, Dow on track for worst week in 2 months on recovery, taper fears - Reuters","U.S. stock index futures fell on Friday, as concerns over a slowing economic recovery and the possible tapering of monetary stimulus hurt economy-linked sectors and put the Dow and the S&P 500 on course for their worst week since mid-June.",https://www.reuters.com/article/us-usa-stocks-idUSKBN2FL16G,https://static.reuters.com/resources/r/?m=02&d=20210820&t=2&i=1572468957&r=LYNXMPEH7J0M7&w=800,2021-08-20T11:29:00Z,"By Reuters Staff
(Reuters) - U.S. stock index futures fell on Friday, as concerns over a slowing economic recovery and the possible tapering of monetary stimulus hurt economy-linked sectors and put … [+2374 chars]",reuters,Reuters
4,Reuters,"S&P 500, Dow on track for worst week in 2 months on recovery, taper fears - Reuters","U.S. stock index futures fell on Friday, as concerns over a slowing economic recovery and the possible tapering of monetary stimulus hurt economy-linked sectors and put the Dow and the S&P 500 on course for their worst week since mid-June.",https://www.reuters.com/business/sp-500-dow-track-worst-week-2-months-recovery-taper-fears-2021-08-20/,https://www.reuters.com/resizer/eCNEAsaRvvDDBertB7YDzygLXrg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/CLKUCECC2RJNPEOCDFLRF7HYYE.jpg,2021-08-20T11:28:00Z,"Signage hangs over the trading floor at the New York Stock Exchange (NYSE) in Manhattan, New York City, U.S., August 19, 2021. REUTERS/Andrew KellyAug 20 (Reuters) - U.S. stock index futures fell on … [+2657 chars]",reuters,Reuters
5,"A. Ananthalakshmi,Rozanna Latiff",Tough task ahead for Malaysia's new PM Ismail Sabri amid crises - Reuters,"Malaysia's new prime minister, Ismail Sabri Yaakob, will have to draw on his experience of more than a decade in governance as he takes the reins of a country beset by political turmoil, raging COVID-19 infections and a pandemic-battered economy.",https://www.reuters.com/world/asia-pacific/tough-task-ahead-malaysias-new-pm-ismail-sabri-amid-crises-2021-08-20/,https://www.reuters.com/resizer/XAPpOb5kM6lfd6LiAGbSe_rhcUw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DYIOEBLQ6JICTAZXPIMCXNCGPE.jpg,2021-08-20T10:02:00Z,"Former Malaysian Deputy Prime Minister Ismail Sabri Yaakob waves to members of the media before departing for a meeting with the King, in Kuala Lumpur, Malaysia, August 19, 2021. REUTERS/Lim Huey Ten… [+4748 chars]",reuters,Reuters
6,"Charlotte Greenfield,James Mackenzie",Cowering in the bathroom: Some Afghans dread the Taliban knock at the door - Reuters,"When armed members of the Afghan Taliban knocked on the door of their Kabul apartment, the family of 16 inside had crammed into the bathroom, turned off the lights and mobile phones and covered the children's mouths to keep them quiet.",https://www.reuters.com/world/asia-pacific/cowering-bathroom-some-afghans-dread-taliban-knock-door-2021-08-20/,https://www.reuters.com/resizer/vqCs1I45Pz2egC_TwdctBIyTaoM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6WO6766TLNKKJHZK6MIOBQK7HQ.jpg,2021-08-20T18:36:00Z,"Aug 20 (Reuters) - When armed members of the Afghan Taliban knocked on the door of their Kabul apartment, the family of 16 inside had crammed into the bathroom, turned off the lights and mobile phone… [+5037 chars]",reuters,Reuters
7,"Alexandra Ulmer,Kristina Cooke",Inside a doomed migrant boat journey from Mexico to California - Reuters,"As the 40-foot cabin cruiser lurched for 12 hours on the Pacific on its dead-of-night journey to California from Tijuana, a Mexican migrant named Eberardo tried to keep the panicked passengers' spirits up.",https://www.reuters.com/world/us/inside-doomed-migrant-boat-journey-mexico-california-2021-08-20/,https://www.reuters.com/resizer/EXNlwUPOY1PAVaWoSkwt_Bw27k0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/2INZ2LVDOVMWPAEJCBVTHVBDIY.jpg,2021-08-20T14:11:00Z,"People congregate after a boat carrying migrants from Mexico shipwrecks off the coast of San Diego, California, May 2, 2021. Mikael Jacobson/Handout via REUTERS SAN FRANCISCO, Aug 20 (Reuters) - As t… [+13183 chars]",reuters,Reuters
8,Devik Jain,"US STOCKS-Wall St rebounds on tech support, but heads for weekly losses - Reuters","US STOCKS-Wall St rebounds on tech support, but heads for weekly losses  Reuters",https://www.reuters.com/article/usa-stocks-idUSL4N2PR3AO,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-20T17:10:00Z,"(For a live blog on the U.S. stock market, click or type LIVE/ in a news window.)
* Microsoft, Apple biggest boost to S&amp;P 500 and Nasdaq
* Bristol-Myers Squibb rises as FDA approves cancer drug… [+3087 chars]",reuters,Reuters
