,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Karolos Grohmann,Sharing videos on social media from Tokyo Games is not allowed -IOC - Reuters,"Sharing videos from the Tokyo 2020 Olympic Games on social media is not allowed, even for athletes, the International Olympic Committee (IOC) said on Thursday as it looked to protect broadcasters' rights.",https://www.reuters.com/lifestyle/sports/sharing-videos-social-media-tokyo-games-is-not-allowed-ioc-2021-08-05/,https://www.reuters.com/resizer/S3yCyAP6fEEfYB9fWLr8mbOsgqM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WLUM55DEMBKF7OO6FGKUMG2YGI.jpg,2021-08-05T06:25:00Z,"International Olympic Committee (IOC) spokesman Mark Adams speaks during a news conference in Rio de Janeiro February 26, 2015. REUTERS/Pilar OlivaresTOKYO, Aug 5 (Reuters) - Sharing videos from the … [+1948 chars]",reuters,Reuters
1,"Krystal Hu,Jeffrey Dastin",Amazon delays office return until January - memo - Reuters,"Amazon.com Inc <a href=""https://www.reuters.com/companies/AMZN.O"" target=""_blank"">(AMZN.O)</a> on Thursday said it would not expect U.S. corporate employees to return to the office until next year because of the coronavirus pandemic, according to an internal …",https://www.reuters.com/technology/amazon-delays-office-return-until-next-year-memo-2021-08-05/,https://www.reuters.com/resizer/CfU6peopx63rainm33VIdGqtgPk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LJCRMLKB65LH5ODC73VDY5U3WY.jpg,2021-08-05T16:34:00Z,"Amazon boxes are seen stacked for delivery in the Manhattan borough of New York City, January 29, 2016. REUTERS/Mike Segar/File PhotoAug 5 (Reuters) - Amazon.com Inc (AMZN.O) on Thursday said it woul… [+1165 chars]",reuters,Reuters
2,Reuters,Italy to help publishers get paid by online giants for content - draft - Reuters,"Italy is set to adopt rules aimed at helping publishers obtain ""fair payment"" from online giants that use their content, a draft decree seen by Reuters showed.",https://www.reuters.com/business/media-telecom/italy-help-publishers-get-paid-by-online-giants-content-draft-2021-08-05/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=48,2021-08-05T14:16:00Z,"ROME, Aug 5 (Reuters) - Italy is set to adopt rules aimed at helping publishers obtain ""fair payment"" from online giants that use their content, a draft decree seen by Reuters showed.
The decree ena… [+1207 chars]",reuters,Reuters
3,Reuters,Police arrest 11 over racist abuse of England players after Euro final - Reuters,British police have arrested 11 people as part of an investigation into the online racist abuse directed at some of the Black players in the England soccer team following their defeat in last month's Euro 2020 final.,https://www.reuters.com/world/uk/police-arrest-11-over-racist-abuse-england-players-after-euro-final-2021-08-05/,https://www.reuters.com/resizer/6aMJzpAw5YMmLpSKFPgUPqJZFec=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6XF7RZTR6NJMJHF3RDE76SOM7I.jpg,2021-08-05T13:14:00Z,"Stand Up to Racism Demonstration at the Marcus Rashford mural after it was defaced following the Euro 2020 Final between Italy and England - Withington, Manchester, Britain - July 13, 2021. REUTERS/P… [+1714 chars]",reuters,Reuters
4,Stephen Nellis,Apple to check iCloud photo uploads for child abuse images - Reuters,Apple Inc on Thursday said it will implement a system that checks photos on iPhones in the United States for matches with known images of child sexual abuse before they are uploaded to its iCloud storage services.,https://www.reuters.com/article/us-apple-privacy-idUSKBN2F62H3,https://static.reuters.com/resources/r/?m=02&d=20210805&t=2&i=1571109509&r=LYNXMPEH741BO&w=800,2021-08-05T19:00:00Z,(Reuters) - Apple Inc on Thursday said it will implement a system that checks photos on iPhones in the United States for matches with known images of child sexual abuse before they are uploaded to it… [+2302 chars],reuters,Reuters
5,Stephen Nellis,Apple to check iCloud photo uploads for child abuse images - Reuters,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> on Thursday said it will implement a system that checks photos on iPhones in the United States for matches with known images of child sexual abuse before they are upload…",https://www.reuters.com/technology/apple-check-icloud-photo-uploads-child-abuse-images-2021-08-05/,https://www.reuters.com/resizer/UBzcb7etSFEg5bGuI_AtRhrIrjs=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/F6INOOMSRRL5XOOQDRPZUWPWBA.jpg,2021-08-05T19:04:00Z,"The Apple logo is seen at an Apple Store, as Apple's new 5G iPhone 12 went on sale in Brooklyn, New York, U.S. October 23, 2020. REUTERS/Brendan McDermidAug 5 (Reuters) - Apple Inc (AAPL.O) on Thursd… [+2460 chars]",reuters,Reuters
6,Reuters Fact Check,Fact Check-‘Screengrab’ of Sean Hannity with quote about Liberals and spiders was made as a joke - Reuters,"A screengrab making rounds on social media allegedly claims Fox News television host Sean Hannity made a statement about Liberals and spiders during his show. But he never said such a phrase, the image was created as a joke.",https://www.reuters.com/article/factcheck-seanhannity-spiders-idUSL1N2PC1WI,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-05T16:24:00Z,"A screengrab making rounds on social media allegedly claims Fox News television host Sean Hannity made a statement about Liberals and spiders during his show. But he never said such a phrase, the ima… [+1764 chars]",reuters,Reuters
7,Stephen Nellis,UPDATE 1-Apple to check iCloud photo uploads for child abuse images - Reuters,Apple Inc on Thursday said it will implement a system that checks photos on iPhones in the United States for matches with known images of child sexual abuse before they are uploaded to its iCloud storage services.,https://www.reuters.com/article/apple-privacy-idUSL1N2PC2DL,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-05T19:58:00Z,"(Adds context, statement from child protection officials)
Aug 5 (Reuters) - Apple Inc on Thursday said it will implement a system that checks photos on iPhones in the United States for matches with … [+3055 chars]",reuters,Reuters
8,Jessie Pang,Hong Kong activist singer cleared of 'corrupt conduct' charge - Reuters,"A Hong Kong judge cleared on Thursday singer and pro-democracy activist Anthony Wong of a charge of ""corrupt conduct"" filed this week by the city's anti-corruption watchdog over an appearance at an opposition election rally in 2018.",https://www.reuters.com/world/china/hong-kong-activist-singer-cleared-corrupt-conduct-charge-2021-08-05/,https://www.reuters.com/resizer/iOuu-JFW_9yP9Go3qbay3cSoY8s=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ORLC2LFH3FKKDE4OOW277XF4UI.jpg,2021-08-05T08:53:00Z,"Hong Kong singer and prominent pro-democracy activist Anthony Wong Yiu-ming arrives at the Eastern Magistrates' Courts over a charge of ""corrupt conduct"" at a 2018 election rally, in Hong Kong, China… [+3003 chars]",reuters,Reuters
9,Fred Greaves,"Fast-moving wildfire burns homes, forces evacuations in Northern California - Reuters","A wildfire that began on Wednesday afternoon rapidly spread in woods surrounding a populated area northeast of Sacramento in California, burning homes, forcing evacuations and generating a towering plume of smoke visible from at least 70 miles (110 km) away.",https://www.reuters.com/world/us/fast-moving-wildfire-burns-homes-forces-evacuations-northern-california-2021-08-05/,https://www.reuters.com/resizer/w-JhiRr1t3mWWXs4Jii56PutR8w=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QTUAP76PPNIBLLSILLG2UIE6LA.jpg,2021-08-05T02:20:00Z,"Wildfire blazes in Lake of the Pines, California, U.S., August 4, 2021, in this screen grab obtained from a social media video. TWITTER @DennisKPIX/via REUTERS COLFAX, California, Aug 4 (Reuters) - A… [+2589 chars]",reuters,Reuters
