,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters Staff,"BRIEF-Facebook Delays Return To Office Until January 2022 For U.S., Some International Employees - CNBC - Reuters","* FACEBOOK DELAYS RETURN TO OFFICE UNTIL JANUARY 2022 FOR U.S., SOME INTERNATIONAL EMPLOYEES - CNBC Source text: https://cnb.cx/3jTXKtj Further company coverage:",https://www.reuters.com/article/brief-facebook-delays-return-to-office-u-idUSFWN2PJ1H5,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12T19:26:00Z,"By Reuters Staff
Aug 12 (Reuters) -
* FACEBOOK DELAYS RETURN TO OFFICE UNTIL JANUARY 2022 FOR U.S., SOME INTERNATIONAL EMPLOYEES - CNBC Source text: cnb.cx/3jTXKtj Further company coverage:",reuters,Reuters
1,Reuters Staff,Facebook delays return to office for employees until January - CNBC - Reuters,"Facebook Inc has delayed return to office for all U.S. and some international employees until January 2022 due to concerns over the highly infectious Delta variant, CNBC reported on Thursday. https://cnb.cx/3xGUSVi",https://www.reuters.com/article/health-coronavirus-facebook-idUSL4N2PJ3XM,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12T19:33:00Z,"By Reuters Staff
Aug 12 (Reuters) - Facebook Inc has delayed return to office for all U.S. and some international employees until January 2022 due to concerns over the highly infectious Delta varian… [+184 chars]",reuters,Reuters
2,Reuters,Facebook may have to sell Giphy on Britain's competition concerns - Reuters,"Britain's competition watchdog said on Thursday it could require Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> to sell GIF website Giphy after its investigation found that the deal between the two companies would har…",https://www.reuters.com/technology/facebook-may-have-sell-giphy-britains-competition-concerns-2021-08-12/,https://www.reuters.com/resizer/s197Si3aicxD1JZIXJUBpa97iB0=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/SJER6BY7RZJM3KGBS5J423X4XE.jpg,2021-08-12T09:29:00Z,Aug 12 (Reuters) - Britain's competition watchdog said on Thursday it could require Facebook Inc (FB.O) to sell GIF website Giphy after its investigation found that the deal between the two companies… [+723 chars],reuters,Reuters
3,Byron Kaye,Three Australian publishers accuse Facebook of unfairly taking their content - Reuters,"Three Australian publishers of lifestyle content say Facebook Inc <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> used their articles on its just-launched news service after refusing to negotiate licensing deals, and that the count…",https://www.reuters.com/world/asia-pacific/three-australian-publishers-accuse-facebook-unfairly-taking-their-content-2021-08-12/,https://www.reuters.com/resizer/hAlyRtGPVbycd4Bswry1wRaE8gY=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZXKMSIZGQ5ONBLSALJWY22KNVI.jpg,2021-08-12T06:33:00Z,"The Facebook app is seen on a phone screen August 3, 2017. REUTERS/Thomas White/File PhotoSYDNEY, Aug 12 (Reuters) - Three Australian publishers of lifestyle content say Facebook Inc (FB.O) used thei… [+3431 chars]",reuters,Reuters
4,Blake Brittain,"NPE PersonalWeb trounced at Fed Circ on Google, Amazon infringement claims - Reuters","Tech companies including Google, Facebook, Amazon, and Dell EMC won rulings at the U.S. Court of Appeals for the Federal Circuit on Thursday allowing them to escape patent disputes with non-practicing entity PersonalWeb Technologies.",https://www.reuters.com/legal/transactional/npe-personalweb-trounced-fed-circ-google-amazon-infringement-claims-2021-08-12/,https://www.reuters.com/resizer/Gxkvz7TVoKsYC6PAZHdSWiESX_0=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZILTII6GGFONVFCK7DR56KSKJQ.jpg,2021-08-12T21:04:00Z,"<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving … [+4152 chars]",reuters,Reuters
5,Reuters Staff,BRIEF-UK's CMA Says Facebook's Takeover Of Giphy Raises Competition Concerns - Reuters,BRIEF-UK's CMA Says Facebook's Takeover Of Giphy Raises Competition Concerns  Reuters,https://www.reuters.com/article/brief-uks-cma-says-facebooks-takeover-of-idUSFWN2PJ0CY,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12T09:11:00Z,"By Reuters Staff
Aug 12 (Reuters) - UKs Competition and Markets Authority:
* CMA SAYS FACEBOOKS TAKEOVER OF GIPHY RAISES COMPETITION CONCERNS
* CMA HAS PROVISIONALLY FOUND FACEBOOKS MERGER WITH GI… [+943 chars]",reuters,Reuters
6,Reuters,AT&T to require management employees to get vaccinated against COVID-19 - Reuters,"AT&T Inc <a href=""https://www.reuters.com/companies/T.N"" target=""_blank"">(T.N)</a> said on Thursday it will require management employees to be vaccinated against COVID-19 before entering a work location, amid growing concerns about the Delta variant of the vi…",https://www.reuters.com/business/att-require-management-employees-get-vaccinated-against-covid-19-2021-08-12/,https://www.reuters.com/resizer/fq_qfCnRfnryfI80KJhZl4TkXCA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TGHRO47JA5J4XMMSTF3LVNCWJE.jpg,2021-08-12T23:33:00Z,"AT&amp;T logo is seen on a smartphone in front of displayed same logo in this illustration taken May 17, 2021. REUTERS/Dado Ruvic/FilesAug 12 (Reuters) - AT&amp;T Inc (T.N) said on Thursday it will r… [+760 chars]",reuters,Reuters
7,Reuters Fact Check,"Fact Check-High children’s clothing prices due to seller error, Walmart explains - Reuters","Some social media users are sharing screenshots and video clips showing sky-high children’s clothing prices on Walmart’s website, alleging they are a sign the U.S. retail giant is involved in child trafficking. They put forward no evidence to back up their al…",https://www.reuters.com/article/factcheck-walmart-childrens-clothing-idUSL1N2PJ2IX,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12T20:25:00Z,"Some social media users are sharing screenshots and video clips showing sky-high childrens clothing prices on Walmarts website, alleging they are a sign the U.S. retail giant is involved in child tra… [+2502 chars]",reuters,Reuters
8,Jane Lee,"EdTech platform Emeritus raises $650 mln from SoftBank, Accel, others - Reuters","Emeritus, an EdTech platform used by some of the world’s top universities and other educational institutions for online courses, said on Thursday it raised $650 million in a funding round led by SoftBank Group Corp’s <a href=""https://www.reuters.com/companies…",https://www.reuters.com/technology/edtech-platform-emeritus-raises-650-mln-softbank-accel-others-2021-08-12/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=48,2021-08-12T11:18:00Z,"Aug 12 (Reuters) - Emeritus, an EdTech platform used by some of the worlds top universities and other educational institutions for online courses, said on Thursday it raised $650 million in a funding… [+1943 chars]",reuters,Reuters
9,Reuters Fact Check,Fact Check-Animal Ivermectin should not be used on humans - Reuters,"Posts on social media embracing the use of ivermectin as a treatment for COVID-19 are misleading and go against the current recommendations of U.S. public health officials. At the time of this article’s publication, the U.S. Food and Drug Administration (FDA)…",https://www.reuters.com/article/factcheck-covid19-ivermectin-idUSL1N2PJ1T9,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12T17:00:00Z,Posts on social media embracing the use of ivermectin as a treatment for COVID-19 are misleading and go against the current recommendations of U.S. public health officials. At the time of this articl… [+4035 chars],reuters,Reuters
