,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Reuters,"Facebook, telcos to extend subsea cable to four countries - Reuters","Facebook and a team of African and global telecoms companies will add four more countries to its world's largest subsea cable project, widening the build project in Africa earlier than planned, they said in a joint statement on Monday.",https://www.reuters.com/world/africa/facebook-telcos-extend-subsea-cable-four-countries-2021-08-16/,https://www.reuters.com/resizer/EkRl_2K0qHkPYy1dbZ3-shq_-p4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Z5YL2TEUUJLT7FQWDQQ5GQPKTQ.jpg,2021-08-16T10:42:00Z,"JOHANNESBURG, Aug 16 (Reuters) - Facebook and a team of African and global telecoms companies will add four more countries to its world's largest subsea cable project, widening the build project in A… [+1879 chars]",reuters,Reuters
1,Sheila Dang,Twitter-backed Bluesky picks tech entrepreneur to lead web research group - Reuters,"Bluesky, an organization funded by Twitter Inc <a href=""https://www.reuters.com/companies/TWTR.N"" target=""_blank"">(TWTR.N)</a> to build technology aimed at fundamentally changing how social media platforms operate, on Monday announced a leader for the project…",https://www.reuters.com/technology/twitter-backed-bluesky-picks-tech-entrepreneur-lead-web-research-group-2021-08-16/,https://www.reuters.com/resizer/jRn2I3Izp3AYOPlaCtt2Gl7ds5s=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TF7V3ZTKWFIZHDZ7N56ESUEZ4Q.jpg,2021-08-16T17:05:00Z,"Twitter CEO Jack Dorsey is seen testifying remotely via videoconference during a Senate Judiciary Committee hearing on Facebook and Twitter's content moderation practices, on Capitol Hill in Washingt… [+1594 chars]",reuters,Reuters
2,Sankalp Phartiyal,Indian media cheer court order putting new IT rules on hold - Reuters India,"Some Indian media on Monday cheered a court order over the weekend which put on hold a part of new rules seeking to regulate content on digital news websites, calling the move significant for press freedom in India.",https://www.reuters.com/world/india/indian-media-cheer-court-order-putting-new-it-rules-hold-2021-08-16/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=49,2021-08-16T11:24:00Z,"NEW DELHI, Aug 16 (Reuters) - Some Indian media on Monday cheered a court order over the weekend which put on hold a part of new rules seeking to regulate content on digital news websites, calling th… [+2076 chars]",reuters,Reuters
3,Reuters,Poland recalls ambassador to Israel indefinitely as restitution row deepens - Reuters,"Poland's ambassador to Israel has been recalled until further notice, the foreign ministry said on Monday, in a further sign of the deteriorating relations between the countries after Warsaw introduced a law affecting World War Two property restitution.",https://www.reuters.com/world/europe/poland-recalls-ambassador-israel-indefinitely-restitution-row-deepens-2021-08-16/,https://www.reuters.com/resizer/Y8ZhwwmDJ_wjvIXOrD3ZviijByc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5VLWHFTRM5JP5HD7XOREG5WGWU.jpg,2021-08-16T15:39:00Z,"WARSAW, Aug 16 (Reuters) - Poland's ambassador to Israel has been recalled until further notice, the foreign ministry said on Monday, in a further sign of the deteriorating relations between the coun… [+2176 chars]",reuters,Reuters
4,Reuters,Reactions to the Taliban takeover of Afghanistan - Reuters,Following are some of the latest reactions to the Taliban's takeover of Afghanistan.,https://www.reuters.com/world/asia-pacific/reactions-taliban-takeover-afghanistan-2021-08-16/,https://www.reuters.com/resizer/i_9UVpAfykUA-N4SJ-jJR_c87Zc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/B27KQVVQBBOZ5L2SFVGW75IZ5I.jpg,2021-08-16T11:55:00Z,"A member of Taliban forces inspects the area outside Hamid Karzai International Airport in Kabul, Afghanistan August 16, 2021. REUTERS/Stringer Aug 16 (Reuters) - Following are some of the latest rea… [+2829 chars]",reuters,Reuters
5,Diego Oré,Vaccine hesitancy reaches Mexico's youth - along with Delta variant - Reuters,"As the Delta variant of the COVID virus sweeps through Mexico's cities, more adults in their 30s and 40s are ending up in the hospital with polls showing vaccine hesitancy is rising in younger age groups.",https://www.reuters.com/world/the-great-reboot/vaccine-hesitancy-reaches-mexicos-youth-along-with-delta-variant-2021-08-16/,https://www.reuters.com/resizer/6KvxDuCXI7YBsRm7Fm1AqHS2l_Y=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DBPLZZLLMZPRHBSCD2OXHN7K2U.jpg,2021-08-16T11:58:00Z,"MEXICO CITY, Aug 16 (Reuters) - As the Delta variant of the COVID virus sweeps through Mexico's cities, more adults in their 30s and 40s are ending up in the hospital with polls showing vaccine hesit… [+4157 chars]",reuters,Reuters
6,Reuters Staff,塔利班接管阿富汗给Facebook和推特等社交媒体公司带来新挑战 - 路透,"<ol><li>塔利班接管阿富汗给Facebook和推特等社交媒体公司带来新挑战  路透
</li><li>阿富汗局势：即将重掌控制权的塔利班是谁？  BBC 中文网
</li><li>塔利班宣布战争结束 德专家：中国将谨慎行事  Deutsche Welle
</li><li>阿富汗情势引发对台湾安全担忧，专家称美撤军正为专注与中国竞争  美国之音中文网 - VOA Mandarin
</li><li>阿富汗局势：塔利班占领总统府 喀布尔陷落  BBC 中文网
</li><li>在Google 新闻上…",https://cn.reuters.com/article/taliban-afg-social-media-0817-idCNKBS2FI07Z,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16T15:07:00Z,"816 - 
Facebook
FacebookWhatsApp
FacebookWhatsApp
AlphabetYouTube(Foreign Terrorist OrganizationsFTO)
YouTubeFTO
()",reuters,Reuters
7,Reuters Staff,塔利班接管阿富汗给Facebook和推特等社交媒体公司带来新挑战 - 路透,"<ol><li>塔利班接管阿富汗给Facebook和推特等社交媒体公司带来新挑战  路透
</li><li>阿富汗局势：即将重掌控制权的塔利班是谁？  BBC 中文网
</li><li>塔利班宣布战争结束 德专家：中国将谨慎行事  Deutsche Welle
</li><li>小时连线 在喀布尔的中国人：中方人员很安全，吃喝不成问题，人们期待和平早日到来  网易
</li><li>阿富汗局势：塔利班占领总统府 喀布尔陷落  BBC 中文网
</li><li>在Google 新闻上查看完整报道</li>…",https://cn.reuters.com/article/%E5%A1%94%E5%88%A9%E7%8F%AD%E6%8E%A5%E7%AE%A1%E9%98%BF%E5%AF%8C%E6%B1%97%E7%BB%99Facebook%E5%92%8C%E6%8E%A8%E7%89%B9%E7%AD%89%E7%A4%BE%E4%BA%A4%E5%AA%92%E4%BD%93%E5%85%AC%E5%8F%B8%E5%B8%A6%E6%9D%A5%E6%96%B0%E6%8C%91%E6%88%98-idCNL4S2PO0KV,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16T14:42:00Z,"816 - 
Facebook
FacebookWhatsApp
FacebookWhatsApp
AlphabetYouTube(Foreign Terrorist OrganizationsFTO)
YouTubeFTO
()",reuters,Reuters
8,Reuters Fact Check,Fact Check-The Simpsons episodes are not evidence of 'predictive programing',"A TikTok video claims The Simpsons episodes are an example of predictive programming, suggesting that the creators have prior knowledge of world events. The clip features a mixture of fabricated screengrabs, images that have been taken out of context, or auth…",https://www.reuters.com/article/factcheck-simpsons-compilation-idUSL1N2PN1VW,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16T18:57:06Z,"A TikTok video claims The Simpsons episodes are an example of predictive programming, suggesting that the creators have prior knowledge of world events. The clip features a mixture of fabricated scre… [+7708 chars]",reuters,Reuters
