,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Sheila Dang,Instagram rolls out ads on Shop tab globally - Reuters,"Instagram will launch advertising on its Shop feature globally, the Facebook Inc-owned <a href=""https://www.reuters.com/companies/FB.O"" target=""_blank"">(FB.O)</a> app said on Tuesday, as it seeks to earn more money from brands hoping to reach new customers.",https://www.reuters.com/technology/instagram-rolls-out-ads-shop-tab-globally-2021-08-24/,https://www.reuters.com/resizer/ks2vvvGq4YxWe49AeG18d9aMwpA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZKZMVWPYRFJ5ROOVLRKWYWCNS4.jpg,2021-08-24T14:16:00Z,"Silhouettes of mobile users are seen next to a screen projection of Instagram logo in this picture illustration taken March 28, 2018. REUTERS/Dado Ruvic/IllustrationAug 24 (Reuters) - Instagram will … [+800 chars]",reuters,Reuters
1,Reuters,UPS mandates COVID-19 vaccination for employees in some U.S. locations - Reuters,"United Parcel Service Inc <a href=""https://www.reuters.com/companies/UPS.N"" target=""_blank"">(UPS.N)</a> said on Tuesday it would require employees in certain U.S. locations to be vaccinated when they return to the office, as COVID-19 cases rise across the Uni…",https://www.reuters.com/business/ups-mandates-covid-19-vaccination-employees-some-us-locations-2021-08-24/,https://www.reuters.com/resizer/MxpI8ubLBYWl0anJqtTxvd25ZdU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/62ACFRYGB5LBZDJYPHMOZMQERI.jpg,2021-08-24T18:59:00Z,"The company logo for United Parcel Service (UPS), is displayed on a screen at the New York Stock Exchange (NYSE) in New York, U.S., October 22, 2019. REUTERS/Brendan McDermidAug 24 (Reuters) - United… [+1281 chars]",reuters,Reuters
2,Reuters,Tim Cook defeats risk of Apple crumble - Reuters,"On Aug. 24, 2011, Steve Jobs conceded he could <a href=""https://www.sec.gov/Archives/edgar/data/0000320193/000118143111047179/rrd320651.htm"" target=""_blank"">no longer</a> run Apple <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a…",https://www.reuters.com/breakingviews/tim-cook-defeats-risk-apple-crumble-2021-08-24/,https://www.reuters.com/resizer/jR1PPrs_s4SxHu9y0B_cOgRsJ1I=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/72BQHSKNTFKEXORKSNRM6JL4YM.jpg,2021-08-24T15:10:00Z,"Apple CEO Tim Cook stands inside the new Apple Store on Broadway in downtown Los Angeles, June 24, 2021. REUTERS/Lucy Nicholson NEW YORK, Aug 24 (Reuters Breakingviews) - On Aug. 24, 2011, Steve Jobs… [+2152 chars]",reuters,Reuters
3,Reuters Staff,Nasdaq futures at record high as tech stocks rise - Reuters,"Futures tracking the Nasdaq 100 index hit a record high on Tuesday as technology stocks rose, while positive news around U.S. vaccination boosted shares of energy and travel-related companies.",https://www.reuters.com/article/us-usa-stocks-idUSKBN2FP0WS,https://static.reuters.com/resources/r/?m=02&d=20210824&t=2&i=1572782702&r=LYNXMPEH7N0G3&w=800,2021-08-24T11:27:00Z,"By Reuters Staff
FILE PHOTO: A person waits on the Wall Street subway platform in the Financial District of Manhattan, New York City, U.S., August 20, 2021. REUTERS/Andrew Kelly
(Reuters) - Futures… [+1908 chars]",reuters,Reuters
4,"Marco Aquino,Marcelo Rochabrun",Peru's Castillo mulls cabinet reshuffle under pressure from opposition - Reuters,"Peru's leftist President Pedro Castillo is mulling a cabinet reshuffle, a source told Reuters on Tuesday, less than a month after taking office and as he faces a critical confirmation vote later in the week by the opposition-led Congress.",https://www.reuters.com/world/americas/perus-castillo-mulls-cabinet-reshuffle-under-pressure-opposition-2021-08-24/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-24T18:53:00Z,"LIMA, Aug 24 (Reuters) - Peru's leftist President Pedro Castillo is mulling a cabinet reshuffle, a source told Reuters on Tuesday, less than a month after taking office and as he faces a critical con… [+2659 chars]",reuters,Reuters
5,Reuters,Nasdaq futures at record high as tech stocks rise - Reuters,"Futures tracking the Nasdaq 100 index hit a record high on Tuesday as technology stocks rose, while positive news around U.S. vaccination boosted shares of energy and travel-related companies.",https://www.reuters.com/business/nasdaq-futures-record-high-tech-stocks-rise-2021-08-24/,https://www.reuters.com/resizer/bJEM0HeZoZbmgYIyLZrGN4zgi3U=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/MINBEWVX65M5DPX7TJLAC77CWE.jpg,2021-08-24T11:26:00Z,"A person waits on the Wall Street subway platform in the Financial District of Manhattan, New York City, U.S., August 20, 2021. REUTERS/Andrew KellyAug 24 (Reuters) - Futures tracking the Nasdaq 100 … [+2175 chars]",reuters,Reuters
