,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Jonathan Stempel,"Zoom reaches $85 mln settlement of lawsuit over user privacy, 'Zoombombing' - Reuters","Zoom Video Communications Inc <a href=""https://www.reuters.com/companies/ZM.O"" target=""_blank"">(ZM.O)</a> agreed to pay $85 million and bolster its security practices to settle a lawsuit claiming it violated users' privacy rights by sharing personal data with…",https://www.reuters.com/technology/zoom-reaches-85-mln-settlement-lawsuit-over-user-privacy-zoombombing-2021-08-01/,https://www.reuters.com/resizer/zPlj-x96A87XKF217JTdE7a-nbM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FNAWP5LEOBMP7AYUPWTPJZ3VFA.jpg,2021-08-01T15:08:00Z,"Small toy figures are seen in front of Zoom logo in this illustration picture taken March 15, 2021. REUTERS/Dado Ruvic/Illustration/File PhotoAug 1 (Reuters) - Zoom Video Communications Inc (ZM.O) ag… [+2167 chars]",reuters,Reuters
1,Reuters,Hackers shut down system for booking COVID-19 shots in Italy's Lazio region - Reuters,"Hackers have attacked and shut down the IT systems of the company that manages COVID-19 vaccination appointments for the Lazio region surrounding Rome, the regional government said on Sunday.",https://www.reuters.com/world/europe/hackers-shut-down-system-booking-covid-19-shots-italys-lazio-region-2021-08-01/,https://www.reuters.com/resizer/EBKWc4Flf2oGSayQZP2RwwD_47Q=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XQVOKOYAZJOTTC62PFAINQTNWU.jpg,2021-08-01T10:22:00Z,"MILAN, Aug 1 (Reuters) - Hackers have attacked and shut down the IT systems of the company that manages COVID-19 vaccination appointments for the Lazio region surrounding Rome, the regional governmen… [+1079 chars]",reuters,Reuters
2,Jonathan Stempel,"Zoom reaches $85 million settlement over user privacy, 'Zoombombing'","Zoom Video Communications Inc agreed to pay $85 million and bolster its security practices to settle a lawsuit claiming it violated users' privacy rights by sharing personal data with Facebook, Google and LinkedIn, and letting hackers disrupt Zoom meetings in…",https://www.reuters.com/article/zoom-settlement-int-idUSKBN2F21CQ,https://static.reuters.com/resources/r/?m=02&d=20210801&t=2&i=1570631196&r=LYNXMPEH700WK&w=800,2021-08-01T18:55:58Z,(Reuters) -Zoom Video Communications Inc agreed to pay $85 million and bolster its security practices to settle a lawsuit claiming it violated users privacy rights by sharing personal data with Faceb… [+2121 chars],reuters,Reuters
